tempo_inicio_recebimento_mercadoria,tempo_fim_recebimento_mercadoria,tempo_inicio_pre_triagem,tempo_fim_pre_triagem,tempo_inicio_raio_x,tempo_fim_raio_x
05:16:21,05:30:21,18:53:43,18:57:43,16:43:04,16:44:04
07:51:07,08:05:07,01:12:47,01:19:47,17:55:17,17:59:17
03:28:10,03:37:10,16:28:54,16:34:54,05:45:50,05:45:50
14:54:25,14:56:25,17:58:10,18:07:10,14:33:26,14:48:26
14:49:53,14:57:53,06:19:11,06:23:11,00:40:29,00:43:29
04:24:12,04:27:12,21:25:22,21:35:22,06:37:33,06:51:33
04:33:30,04:47:30,02:30:53,02:40:53,08:01:21,08:05:21
22:50:12,22:53:12,13:24:58,13:35:58,10:29:12,10:36:12
13:44:59,13:48:59,09:16:28,09:29:28,09:26:00,09:36:00
14:50:50,14:52:50,13:37:44,13:40:44,10:48:19,10:52:19
12:32:16,12:45:16,15:15:16,15:30:16,05:41:14,05:52:14
10:54:34,10:54:34,16:26:16,16:38:16,20:19:28,20:30:28
03:16:24,03:28:24,13:05:14,13:17:14,22:33:44,22:43:44
17:09:17,17:19:17,13:54:10,13:59:10,20:21:11,20:36:11
07:32:06,07:45:06,12:40:02,12:47:02,11:38:40,11:52:40
01:07:34,01:11:34,23:58:09,00:03:09,05:11:24,05:14:24
22:23:57,22:30:57,09:43:03,09:50:03,09:33:34,09:38:34
12:28:29,12:39:29,14:01:29,14:06:29,12:05:57,12:11:57
21:55:29,21:58:29,07:52:06,07:59:06,05:16:42,05:26:42
09:38:08,09:46:08,20:29:04,20:39:04,05:29:26,05:40:26
03:53:04,04:06:04,16:15:00,16:23:00,13:11:08,13:23:08
17:33:54,17:48:54,15:00:34,15:06:34,22:46:14,22:51:14
18:11:42,18:18:42,16:30:01,16:40:01,13:57:02,14:01:02
18:26:26,18:37:26,01:54:48,02:09:48,04:18:59,04:31:59
04:42:27,04:47:27,15:06:39,15:20:39,08:54:14,09:06:14
04:48:58,04:52:58,04:44:45,04:47:45,23:08:56,23:18:56
16:57:28,17:02:28,08:40:10,08:54:10,05:27:54,05:35:54
16:41:53,16:55:53,16:24:08,16:34:08,03:03:40,03:05:40
10:04:45,10:13:45,18:51:15,19:05:15,13:04:02,13:19:02
19:26:42,19:37:42,20:57:19,21:09:19,23:06:30,23:13:30
